Venue,Venue Latitude,Venue Longitude,Venue Category,Health System,geom,Address,Postcode,Borough,CVE GEO,Neighbourhood
Medicina transfusional de Querétaro,20.5875655512603,-100.40038601889200,Doctor's Office,Private,"20.5875655512603,-100.40038601889201","32, Calle Ignacio Pérez, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011316,Centro
Clinica Naturista Dra. Eliud,20.5882361,-100.4020996,Doctor's Office,Private,"20.5882361,-100.4020996","Calle Régules, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010360,Centro
Medica 4,20.5952968100212,-100.39244626737500,Dentist's Office,Private,"20.5952968100212,-100.39244626737499","58, Avenida Corregidora, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,220140001038A,Centro
Clínica Dental Terán,20.591094910569500,-100.397879242055,Dentist's Office,Private,"20.591094910569502,-100.397879242055","10, Calle Ezequiel Montes, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010375,Centro
Odontologia Restauradora ( Dra. Eva Campos),20.588786,-100.397169,Dentist's Office,Private,"20.588786,-100.397169","28, Calle Ezequiel Montes, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
Dentista,20.592176886488600,-100.38910612464000,Dentist's Office,Private,"20.592176886488602,-100.38910612464001","58, Calle Independencia, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400012314,Centro
Sorriso Clínica Dental,20.5881186743947,-100.400857041103,Dentist's Office,Private,"20.5881186743947,-100.400857041103","18, Calle Ignacio Pérez, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
DENTAL CENTER odotonlogia integral,20.5874400351134,-100.393661211919,Dentist's Office,Private,"20.5874400351134,-100.393661211919","Plaza Zaragoza, Avenida Ignacio Zaragoza, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
Dental Center RAV,20.587466411832,-100.393591929228,Dentist's Office,Private,"20.587466411832,-100.393591929228","67, Calle Vicente Guerrero, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
ISSSTE Hospital General Queretaro,20.592926501320100,-100.407072373267,Hospital,Public,"20.592926501320104,-100.407072373267","ISSSTE, Calle Justo Sierra, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011138,Centro
Colegio Médico de Querétaro,20.591759444491,-100.406604037344,Doctor's Office,Private,"20.591759444491,-100.406604037344","Calle Ignacio Ramírez, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011138,Centro
Clinica De Atencion Al Pie,20.5862072063301,-100.40047927013500,Doctor's Office,Private,"20.5862072063301,-100.40047927013501","café madero, Calle Ignacio Pérez, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011316,Centro
Hospital Tec 100 Torre 3,20.584102,-100.4005,Hospital,Private,"20.584102,-100.4005","Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011316,Centro
Tec100 Torre 2,20.584145347462600,-100.40038046658,Doctor's Office,Private,"20.584145347462602,-100.40038046658","Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011316,Centro
Urgencias Hospital Médica Tec 100,20.5841560295782,-100.400473784765,Emergency Room,Private,"20.5841560295782,-100.400473784765","Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011316,Centro
Laboratorio LABSA,20.590414650864000,-100.389074491505,Medical Lab,Private,"20.590414650864002,-100.389074491505","42, Calle Reforma, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400012314,Centro
Secretaría De Salud,20.5943935755244,-100.39026151674800,Goverment Center,Public,"20.5943935755244,-100.39026151674801","51, Calle 16 de Septiembre, Barrio de la Cruz, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,220140001038A,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Clinica Orquideas,20.5941262605388,-100.379081058116,Medical Center,Private,"20.5941262605388,-100.379081058116","Calle Orquídeas, Jardines de Querétaro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010394,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Hospital De La Santa Cruz,20.5950447915885,-100.37979379429300,Hospital,Private,"20.5950447915885,-100.37979379429301","Hospital de la Cruz, Privada Circunvalación, Jardines de Querétaro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010394,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Clínica médica del bosque,20.596009469787600,-100.37694832726,Hospital,Private,"20.596009469787603,-100.37694832726","Calle Ramón Rodríguez Familiar, Pathe, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010394,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Clinica Medica Equilibrium Dentista Nutrición Psicología Medicina Estética Spa,20.598439,-100.37637,Medical Center,Private,"20.598439,-100.37637","Calzada Pathé, Pathe, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010337,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
nutrire,20.5946048457217,-100.386103391647,Medical Center,Private,"20.5946048457217,-100.386103391647","2, Calle Manuel Gutiérrez Nájera, Barrio de la Cruz, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,220140001038A,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Intermedic,20.5951015947009,-100.37709267531,Medical Lab,Private,"20.5951015947009,-100.37709267531","Calle Ramón Rodríguez Familiar, Pathe, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010394,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Psic. Jorge Luis Mendoza,20.5952375650456,-100.37743449211100,Mental Health Office,Private,"20.5952375650456,-100.37743449211099","Calle Margaritas, Jardines de Querétaro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010394,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Consultorio Dental Adei,20.599729563132500,-100.375869762376,Dentist's Office,Private,"20.599729563132502,-100.375869762376","Matador, Lateral Bernardo Quintana, Pathe, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,2201400010337,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Laboratorio Medicina y Diagnostico de Querétaro,20.5934964470507,-100.386640739595,Medical Lab,Private,"20.5934964470507,-100.386640739595","31, Calle Venustiano Carranza, Barrio de la Cruz, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76020, México",76020,Queretaro,220140001038A,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo"
Hospital del Sagrado Corazon,20.5991337092716,-100.393372923091,Hospital,Private,"20.5991337092716,-100.393372923091","277, Avenida Corregidora, Nacozari, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76164, México",76164,Queretaro,2201400010318,"Nacozari, Las Rosas, Primavera"
Centro de Salud Dr. Pedro Escobedo,20.588855910512200,-100.398897611822,Medical Center,Public,"20.588855910512198,-100.398897611822","159, Calle José María Pino Suárez, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76010, México",76010,Queretaro,2201400010375,"Las Campanas, Niños Héroes"
Dr. Felipe Villa Bernardino,20.587675357854600,-100.41087873639500,Doctor's Office,Private,"20.587675357854604,-100.41087873639499","Avenida Heróico Colegio Militar, Las Campanas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76010, México",76010,Queretaro,2201400012297,"Las Campanas, Niños Héroes"
Clinica Las Campanas,20.588920048596600,-100.411277645666,Doctor's Office,Private,"20.588920048596602,-100.411277645666","Calle Molino del Rey, Las Campanas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76010, México",76010,Queretaro,2201400012297,"Las Campanas, Niños Héroes"
Endocenter Clinica Dental,20.5889755367895,-100.411310791969,Dentist's Office,Private,"20.5889755367895,-100.411310791969","Calle Molino del Rey, Las Campanas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76010, México",76010,Queretaro,2201400012297,"Las Campanas, Niños Héroes"
SESEQ Adquisiciones,20.596593313663400,-100.39018416326400,Goverment Center,Public,"20.596593313663398,-100.39018416326401","Calle Próspero C. Vega, Jacarandas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76168, México",76168,Queretaro,220140001038A,"Claustros del Parque, Residencial Bosques, Mega Plaza, Lomas de Lindavista, Jacarandas, Industria del Hierro, Las Gemas, Quinta La Laborcilla, Lindavista"
Visual center,20.6095695428415,-100.386786607174,Medical Center,Private,"20.6095695428415,-100.386786607174","52, Avenida Manufactura, Bosques, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76168, México",76168,Queretaro,2201400012244,"Claustros del Parque, Residencial Bosques, Mega Plaza, Lomas de Lindavista, Jacarandas, Industria del Hierro, Las Gemas, Quinta La Laborcilla, Lindavista"
Laboratorio Chopo,20.6102381714336,-100.387255009166,Medical Lab,Private,"20.6102381714336,-100.387255009166","Italian Coffee Company, Avenida Manufactura, Bosques, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76168, México",76168,Queretaro,2201400012244,"Claustros del Parque, Residencial Bosques, Mega Plaza, Lomas de Lindavista, Jacarandas, Industria del Hierro, Las Gemas, Quinta La Laborcilla, Lindavista"
Hospital Medica EBOR,20.6098707103242,-100.399087743801,Hospital,Private,"20.6098707103242,-100.399087743801","Medica EBOR, Tercera privada Felipe Ángeles, Felipe Ángeles, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76168, México",76168,Queretaro,2201400011227,"Claustros del Parque, Residencial Bosques, Mega Plaza, Lomas de Lindavista, Jacarandas, Industria del Hierro, Las Gemas, Quinta La Laborcilla, Lindavista"
Grupo Médico Zaragoza,20.5861333687194,-100.397699529366,Doctor's Office,Private,"20.5861333687194,-100.397699529366","71, Calle Nicolás Campa, El Carrizal, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76005, México",76005,Queretaro,2201400010411,"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos"
Medical Center,20.5860823628221,-100.398257722511,Medical Supply Store,Private,"20.5860823628221,-100.398257722511","71, Calle Nicolás Campa, El Carrizal, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76005, México",76005,Queretaro,2201400010411,"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos"
Hospital H+ Querétaro,20.5844192605643,-100.399947244591,Hospital,Private,"20.5844192605643,-100.399947244591","Privada Ignacio Zaragoza, Villas del Refugio, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400011316,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Instituto de Corazon de Queretaro,20.5844805087806,-100.400121278296,Doctor's Office,Private,"20.5844805087806,-100.400121278296","Privada Ignacio Zaragoza, Villas del Refugio, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400011316,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Laboratorio Medico Polanco,20.581766340250900,-100.397778434077,Medical Center,Private,"20.581766340250898,-100.397778434077","Laboratorio Médico Polanco, 69, Avenida Constituyentes, Casa Blanca, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010483,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Clinicas Perifericas,20.5836139697056,-100.39457720435100,Hospital,Private,"20.5836139697056,-100.39457720435101","Avenida Constituyentes, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Grupo Médico Integral,20.583386,-100.393095,Medical Center,Private,"20.583386,-100.393095","Tacos El Pata, Calle Fray Pedro de Gante, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
SAME Diagnostic,20.5839238283595,-100.39663959251300,Medical Center,Private,"20.5839238283595,-100.39663959251301","Calle del Cañaveral, El Carrizal, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010411,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Especialidades Medicas San Miguel,20.580347,-100.394222,Doctor's Office,Private,"20.580347,-100.394222","Calle Eusebio Francisco Kino, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Clinica fray pedro de gante,20.5821259844983,-100.392520348085,Doctor's Office,Private,"20.5821259844983,-100.392520348085","Calle Fray Pedro de Gante, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Clinica Medica Del Rayo,20.582553993126000,-100.392547772528,Doctor's Office,Private,"20.582553993125998,-100.392547772528","Andador Fray Bartolomé De Las Casas, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Consultorios Médicos y Odontológicos,20.5834108234032,-100.393233386295,Doctor's Office,Private,"20.5834108234032,-100.393233386295","Tacos El Pata, Calle Fray Pedro de Gante, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Radiología y Ultrasonido Milenio,20.5837310682498,-100.393738001347,Doctor's Office,Private,"20.5837310682498,-100.393738001347","Calle Fray Vasco de Quiroga, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Clinica Dematologica MR,20.5831904671846,-100.38993888294900,Doctor's Office,Private,"20.5831904671846,-100.38993888294901","Calle Ignacio M. de las Casas, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Medicos Pediatras,20.5844617494344,-100.390562264373,Doctor's Office,Private,"20.5844617494344,-100.390562264373","Calle Ignacio M. de las Casas, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Niembro y Niembro,20.58451,-100.396712,Dentist's Office,Private,"20.58451,-100.396712","Calle del Bejuco, El Carrizal, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010411,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Laboratorio Biomedico de Queretaro,20.584798293226900,-100.39849358794400,Medical Lab,Private,"20.584798293226896,-100.39849358794399","Cerrada Del Carrizal, El Carrizal, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010411,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Dentista Roberto Ayala,20.583027,-100.390506,Dentist's Office,Private,"20.583027,-100.390506","Calle Isidro Féliz de Espinoza, Cimatario, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400010498,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Laboratorio H+,20.584149134455100,-100.399931718034,Medical Lab,Private,"20.584149134455103,-100.399931718034","Privada Ignacio Zaragoza, Villas del Refugio, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400011316,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
"ORTOQRO, Consultorio de Ortodoncia",20.5825726358122,-100.40137052536,Dentist's Office,Private,"20.5825726358122,-100.40137052536","Discepolo Gourmet, Calle Julián Zúñiga, San Ángel, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400011316,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
san joaquin consultorios,20.581057,-100.389292,Mental Health Office,Private,"20.581057,-100.389292","Calle San Joaquín, Estrella, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76030, México",76030,Queretaro,2201400012371,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
ADMINISTRACIÓN MEDICA INDUSTRIAL,20.568166381844900,-100.416975617409,Doctor's Office,Private,"20.568166381844897,-100.416975617409","Calle Plaza del Volador, Mansiones del Valle, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 79180, México",76030,Queretaro,2201400012390,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella"
Hospital General Regional #1 IMSS,20.5822463742738,-100.40576732129400,Hospital,Public,"20.5822463742738,-100.40576732129401","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
St. Joseph,20.583343711657500,-100.409392338053,Medical Center,Private,"20.583343711657502,-100.409392338053","SuperQ, Calle Laurel, La Capilla, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011852,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Direccion Del Imss HGZ1,20.5814622243191,-100.405846534725,Goverment Center,Public,"20.5814622243191,-100.405846534725","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Jefatura De Medicina Interna HGR 1 IMSS,20.5809890471516,-100.405970292066,Goverment Center,Public,"20.5809890471516,-100.405970292066","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Hospital General Querétaro,20.579968025440100,-100.405465608825,Hospital,Public,"20.579968025440103,-100.405465608825","General Ramón Rodrígez Familiar, Avenida 5 de Febrero, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011867,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Unidad Médica La Capilla,20.5807161330913,-100.409098963258,Hospital,Private,"20.5807161330913,-100.409098963258","35, De Los Cedros, La Capilla, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011867,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
clina 13 UMF (Unidad de Medicina Familiar #13 IMSS),20.581304,-100.406099,Hospital,Public,"20.581304,-100.406099","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Traumatología Y Ortopedia Del HGR1 Del Imss,20.581873,-100.406207,Doctor's Office,Public,"20.581873,-100.406207","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
