Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Hospital Santa Rosa de Viterbo,20.588505998594307,-100.3972142996623,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacia Dérmica,20.597282279819595,-100.39413291943842,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacia Guadalajara,20.597597685391094,-100.39431095123291,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacia Benavides,20.58958,-100.404466,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Secretaría De Salud,20.594393575524382,-100.39026151674763,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacia Homeopática Querétaro,20.591147440190177,-100.40344387292862,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacias Guadalajara,20.592149,-100.393237,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Centro de Salud Dr. Pedro Escobedo,20.588855910512187,-100.39889761182215,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacias Similares,20.588842391967773,-100.39704132080078,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Sanatorio Mariano,20.590467339588166,-100.39383043043023,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Hospital del Sagrado Corazon,20.599133709271563,-100.39337292309114,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Clinica Medica Familiar ISSSTE Queretaro,20.592521230151466,-100.40564352767903,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Policlínica Médica De Querétaro,20.5912154420652,-100.39223513437494,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,ISSSTE Hospital General,20.592696628687055,-100.40619850158691,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacias del Ahorro,20.586441769394774,-100.39649219717529,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Medicina Transfusional de Querétaro (Banco de Sangre),20.587538716078875,-100.40032991634808,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,FisioINTEGRATE (Fisioterapia Y Rehabilitacion),20.591856002807617,-100.40054321289062,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,ISSSTE,20.592925500913832,-100.40662857878021,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,ISSSTE Hospital General Queretaro,20.592926501320132,-100.40707237326686,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Isste,20.593010515374285,-100.4071277827275,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Hospital Luis Martin,20.58768903499588,-100.39467710021589,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Lotus: Farmacia Homeopática,20.588880122982893,-100.39256751537323,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Ópticas Devlyn,20.596444,-100.393887,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Clinica Naturista Dra. Eliud,20.5882361,-100.4020996,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Medicina transfusional de Querétaro,20.58756555126027,-100.40038601889187,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Colegio Médico de Querétaro,20.59175944449099,-100.40660403734421,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,SESEQ Adquisiciones,20.596593313663362,-100.39018416326381,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Grupo Médico Zaragoza,20.586133368719405,-100.39769952936594,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Medical Center,20.586082362822125,-100.39825772251116,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Clinica De Atencion Al Pie,20.586207206330133,-100.40047927013518,Doctor's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,ServiOptica Queretaro,20.597939,-100.394665,Optical Shop
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Clínica Dental Terán,20.591094910569538,-100.39787924205521,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Medica 4,20.595296810021196,-100.39244626737499,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Odontologia Restauradora ( Dra. Eva Campos),20.588786,-100.397169,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Sorriso Clínica Dental,20.588118674394664,-100.40085704110338,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,DENTAL CENTER odotonlogia integral,20.587440035113364,-100.39366121191877,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Dental Center RAV,20.587466411831993,-100.39359192922771,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Centro Médico Veterinario Dr. Benjamín Solorio,20.58686649347516,-100.40074805366807,Veterinarian
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Hospital H+ Querétaro,20.584419260564264,-100.39994724459063,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Farmacias Especializadas,20.58297950576052,-100.40633844443897,Pharmacy
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Farmacias del Ahorro,20.582515333751513,-100.40757667887759,Pharmacy
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Farmacia Benavides,20.58958,-100.404466,Pharmacy
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,INNÉOV,20.58357,-100.407848,Pharmacy
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Hospital General Regional #1 IMSS,20.582246374273826,-100.4057673212942,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Instituto Mexicano del Seguro Social,20.583011285445927,-100.40527361050422,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,St. Joseph,20.58334371165746,-100.40939233805308,Medical Center
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Sala De La Salud (Espera) Del Hgr1 Del Imss,20.58217712122349,-100.40525399929473,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Hospital General Regional 1,20.581870990276457,-100.40553692259068,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Direccion Del Imss HGZ1,20.58146222431911,-100.40584653472523,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,IMSS,20.58151733317908,-100.40510355518852,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Jefatura De Medicina Interna HGR 1 IMSS,20.580989047151572,-100.40597029206617,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Hospital General Querétaro,20.579968025440067,-100.40546560882501,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Unidad Médica La Capilla,20.58071613309125,-100.40909896325776,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Farmacia Guadalajara,20.58352077095317,-100.41574998892388,Pharmacy
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Centro Estatal de la Transfusión Sanguínea,20.58007393475267,-100.40564663618595,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Urgencias HGQ,20.579870063684183,-100.40567406460552,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,clina 13 UMF (Unidad de Medicina Familiar #13 IMSS),20.58367281092006,-100.40783545017942,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Hospital Tec 100 Torre 3,20.584102,-100.4005,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Farmacias del Ahorro,20.580523001516084,-100.40964837974882,Pharmacy
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Medicina Física Y Rehabilitación Dr Tonatiuh,20.579151288153607,-100.40808572566732,Medical Center
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Medicina Transfusional de Querétaro (Banco de Sangre),20.587538716078875,-100.40032991634808,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Medica Tec100,20.584220599564258,-100.39993768292331,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,ISSSTE Hospital General Queretaro,20.592926501320132,-100.40707237326686,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Clinica Medica Familiar ISSSTE Queretaro,20.592521230151466,-100.40564352767903,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,ISSSTE Hospital General,20.592696628687055,-100.40619850158691,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Capacits,20.578663,-100.405487,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Isste,20.593010515374285,-100.4071277827275,Hospital
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Traumatología Y Ortopedia Del HGR1 Del Imss,20.581873,-100.406207,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Dr. Felipe Villa Bernardino,20.58767535785461,-100.41087873639526,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Centro de Salud Dr. Pedro Escobedo,20.588855910512187,-100.39889761182215,Medical Center
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Clinica 13 Imss,20.58079148958035,-100.40576243690766,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Clinica Las Campanas,20.588920048596567,-100.41127764566554,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Psiquiatría Del Hgr1 Imss Qro,20.580479,-100.40512,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,RR Capilar,20.585184047486464,-100.41354775428772,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Colegio Médico de Querétaro,20.59175944449099,-100.40660403734421,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Nutrición,20.584412,-100.413536,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Clinica Dermatologica De Queretaro,20.579596,-100.408386,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Tec100 Torre 2,20.584145347462638,-100.40038046658013,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Medicina transfusional de Querétaro,20.58756555126027,-100.40038601889187,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Endocenter Clinica Dental,20.588975536789476,-100.4113107919693,Dentist's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Instituto de Corazon de Queretaro,20.58448050878063,-100.40012127829642,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Medical Center,20.586082362822125,-100.39825772251116,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Grupo Médico Zaragoza,20.586133368719405,-100.39769952936594,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Cederborg Medicina Estetica,20.58212816786799,-100.41573918263454,Doctor's Office
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Urgencias IMSS HGR#1,20.582969383811566,-100.40530103881085,Emergency Room
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Urgencias Hospital Médica Tec 100,20.584156029578157,-100.40047378476528,Emergency Room
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Laboratorio del HGR1 del IMSS,20.581456609363098,-100.40607452047716,Medical Lab
"Las Campanas, Niños Héroes",20.585667481832527,-100.40709102903799,Laboratorio LABSA,20.580898881732622,-100.40900942232852,Medical Lab
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,ISSSTE Hospital General Queretaro,20.592926501320132,-100.40707237326686,Hospital
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Isste,20.593010515374285,-100.4071277827275,Hospital
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Farmacia Benavides,20.58958,-100.404466,Pharmacy
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,ISSSTE,20.592925500913832,-100.40662857878021,Hospital
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,ISSSTE Hospital General,20.592696628687055,-100.40619850158691,Hospital
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Clinica Medica Familiar ISSSTE Queretaro,20.592521230151466,-100.40564352767903,Hospital
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Farmacia Homeopática Querétaro,20.591147440190177,-100.40344387292862,Pharmacy
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Colegio Médico de Querétaro,20.59175944449099,-100.40660403734421,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Farmacia del Ahorro,20.595616213966306,-100.40247065280423,Pharmacy
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Clinica Las Campanas,20.588920048596567,-100.41127764566554,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Fisioterapia,20.591962,-100.400661,Medical Center
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Dr. Felipe Villa Bernardino,20.58767535785461,-100.41087873639526,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,INNÉOV,20.58357,-100.407848,Pharmacy
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,St. Joseph,20.58334371165746,-100.40939233805308,Medical Center
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Endocenter Clinica Dental,20.588975536789476,-100.4113107919693,Dentist's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Clinica UVM,20.585985879162052,-100.41284413826197,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,RR Capilar,20.585184047486464,-100.41354775428772,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Clinica Naturista Dra. Eliud,20.5882361,-100.4020996,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,FisioINTEGRATE (Fisioterapia Y Rehabilitacion),20.591856002807617,-100.40054321289062,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Nutrición,20.584412,-100.413536,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,clina 13 UMF (Unidad de Medicina Familiar #13 IMSS),20.58367281092006,-100.40783545017942,Doctor's Office
Centro Universitario (U.A.Q.),20.592282053242396,-100.409679021783,Centro De Salud Animal,20.587907347733708,-100.405171987431,Veterinarian
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Clinica Orquideas,20.594126260538758,-100.37908105811566,Medical Center
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Farmacias del Ahorro,20.595328352805158,-100.38073219423589,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Hospital De La Santa Cruz,20.595044791588496,-100.37979379429292,Hospital
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Clínica médica del bosque,20.596009469787553,-100.37694832725983,Hospital
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Farmacia Guadalajara Circunvalación,20.597983,-100.381022,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Farmacia Guadalajara,20.595148344997554,-100.3714544733684,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Clinica Medica Equilibrium Dentista Nutrición Psicología Medicina Estética Spa,20.598439,-100.37637,Medical Center
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Farmacias Guadalajara,20.599493055186926,-100.3878803224737,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Centro Dermatológico San Francisco,20.599075657030966,-100.37082977945292,Medical Center
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,nutrire,20.59460484572172,-100.38610339164734,Medical Center
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Farmacias del Ahorro,20.595329956886662,-100.37154062315864,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Farmacias Guadalajara,20.59521784707949,-100.37144438178069,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Clínica San Francisco,20.59911641862643,-100.37070744132411,Hospital
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,homeopatia de queretaro,20.58917267662068,-100.37653879789377,Pharmacy
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Conie Bogart Aromaterapia,20.600065729606733,-100.38601756095886,Supplement Shop
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Intermedic,20.595101594700893,-100.37709267531004,Medical Lab
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Dicorsa Diagnóstico Computarizado en Odontologia,20.59377480505196,-100.37617424478042,Dentist's Office
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,ORTODONCIA PROFESIONAL,20.592560714363568,-100.37859059397853,Dentist's Office
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Psic. Jorge Luis Mendoza,20.595237565045565,-100.3774344921112,Mental Health Office
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Consultorio Dental Adei,20.599729563132446,-100.37586976237597,Dentist's Office
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Animal Park Hospital Veterinario,20.590462081353692,-100.37203714265944,Veterinarian
"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.596568280859998,-100.379079150576,Laboratorios Chopo,20.590315220909357,-100.37515137729731,Medical Lab
