AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200141265022,17,*,*,13,10,16,14,0,0,9,17,6,3,5,5,5,5,5,5,5,5,5,17
2200141265023,31,3,3,16,13,25,21,*,0,12,28,9,3,6,5,4,7,7,7,7,7,7,28
2200141265024,37,8,*,13,18,34,27,3,4,19,37,12,4,9,5,5,9,9,10,10,10,10,37
2200141265025,79,22,*,34,39,66,53,7,5,33,79,24,10,18,10,11,18,19,19,20,20,20,79
2200141265026,82,24,*,33,39,67,56,4,6,33,82,28,5,18,8,7,14,21,21,22,22,22,82
2200141265027,99,22,6,45,44,79,63,8,8,30,99,29,8,20,16,6,17,25,23,26,26,25,99
2200141265028,83,17,3,44,38,62,49,4,5,38,83,27,7,19,13,14,16,23,23,24,24,24,83
2200141265029,71,16,*,40,36,57,45,6,6,33,71,20,7,12,9,7,16,17,18,18,18,18,71
2200141265030,75,15,3,28,37,44,39,6,*,30,75,24,6,18,8,11,19,20,20,20,20,20,75
2200141265031,72,16,3,28,32,58,50,0,8,41,72,23,11,19,15,14,18,20,20,20,20,18,72
2200141265032,66,11,*,33,34,59,48,4,7,29,66,24,6,14,7,11,19,20,20,21,21,21,66
2200141265033,36,6,3,20,19,33,25,8,*,11,36,15,10,7,10,6,9,12,12,12,12,12,36
2200141265034,29,7,*,10,15,25,25,0,0,12,29,6,*,5,3,4,5,6,6,6,6,6,29
2200141265035,58,14,5,33,31,47,38,4,*,15,58,23,11,17,17,12,17,18,18,19,19,19,58
2200141265036,45,12,0,20,24,37,31,6,0,18,45,14,4,11,4,3,10,11,11,12,12,12,45
2200141265037,73,15,4,24,36,56,38,3,10,24,73,18,9,15,10,6,13,18,17,18,18,18,73
2200141265038,68,20,*,27,36,52,39,*,9,28,68,19,5,16,9,11,15,18,19,19,19,19,68
2200141265039,58,13,6,22,21,40,25,13,*,18,58,16,4,8,5,3,11,15,15,15,15,15,58
2200141265040,57,9,7,31,27,40,33,0,7,20,57,15,10,13,11,9,12,13,13,13,13,13,57
220014127A000,2511,423,168,1121,1247,1834,1557,134,96,987,2487,692,328,532,382,434,579,620,630,634,635,629,2487
220014127A001,78,13,3,30,38,52,43,3,6,34,78,20,7,17,9,12,18,18,19,19,19,19,78
220014127A003,129,17,11,53,65,103,95,*,4,47,129,33,14,22,18,20,30,31,32,32,32,32,129
220014127A004,140,23,12,51,68,97,85,4,8,47,137,37,15,27,17,20,30,34,34,34,34,34,137
220014127A006,88,15,8,28,44,58,56,*,*,36,88,20,7,15,8,11,17,18,18,18,18,18,88
220014127A007,142,17,8,40,77,125,89,*,16,49,142,37,8,27,12,17,34,35,36,37,37,36,142
220014127A008,132,14,15,87,59,89,68,11,6,41,126,43,30,36,33,36,38,38,38,38,38,37,126
220014127A009,191,39,16,114,86,131,111,12,0,65,191,52,41,46,42,45,45,49,49,49,49,47,191
220014127A010,197,31,19,132,99,125,104,14,*,89,197,57,39,48,46,47,53,55,55,55,55,55,197
220014127A011,91,25,0,36,43,77,63,3,10,25,91,29,11,20,15,18,23,25,26,26,26,26,91
220014127A012,134,24,4,44,63,96,87,*,7,57,134,34,14,25,15,22,29,30,32,32,32,32,134
220014127A013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014127A014,102,17,7,38,49,87,72,11,5,44,102,25,10,22,12,14,24,24,24,24,24,24,102
220014127A015,63,11,6,20,31,55,54,*,0,26,63,15,4,12,7,7,11,14,15,15,15,15,63
220014127A016,91,13,10,65,42,66,50,10,0,33,88,30,20,24,22,25,24,25,25,26,26,26,88
220014127A017,103,20,5,42,56,74,53,14,4,37,103,28,12,22,11,14,25,25,25,25,25,25,103
220014127A019,118,16,8,42,55,81,69,9,*,57,115,24,10,19,13,15,21,23,23,23,23,23,115
220014127A020,106,18,5,42,52,69,50,12,5,42,103,29,13,19,15,17,22,26,25,26,26,26,103
220014127A021,189,41,10,61,103,132,122,6,5,77,186,57,14,40,21,27,37,44,47,48,48,48,186
220014127A022,83,12,3,35,42,69,67,*,*,36,83,22,12,18,11,5,18,21,21,21,21,21,83
220014127A023,92,15,6,40,51,68,63,0,5,30,92,26,10,18,11,15,22,24,24,24,24,24,92
220014127A024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220014127A025,80,14,4,33,43,54,45,5,6,33,77,21,8,17,9,11,17,17,18,18,18,18,77
220014127A026,73,15,*,26,41,65,56,7,*,38,73,17,7,14,12,12,16,17,17,17,17,17,73
220014127A027,16,7,0,9,7,9,5,4,0,9,16,9,3,4,4,4,4,5,5,5,5,5,16
220014127A028,73,6,6,53,33,52,50,0,*,35,73,27,19,20,19,20,21,22,22,22,23,21,73
2200141284000,3493,553,238,1831,1729,2631,2183,194,117,1413,3445,977,533,761,600,640,796,868,876,882,885,866,3445
2200141284001,86,15,6,42,39,66,62,*,*,33,86,29,13,23,17,21,20,23,25,25,25,25,86
2200141284002,140,17,9,83,75,110,93,4,*,68,137,39,20,31,24,30,30,33,34,34,34,34,137
2200141284003,151,14,10,111,70,96,70,11,0,70,148,54,44,45,45,44,46,46,46,46,46,43,148
2200141284004,167,22,9,118,79,112,91,9,0,65,167,55,38,42,39,40,44,46,46,48,48,44,167
2200141284005,128,18,8,61,72,92,73,12,7,57,128,38,18,29,22,19,33,34,34,34,34,34,128
2200141284006,153,31,7,74,82,116,103,7,7,58,150,38,23,32,27,24,32,36,36,37,37,37,150
2200141284007,174,37,10,112,71,135,115,15,3,74,171,55,38,46,39,44,46,47,47,46,47,42,171
2200141284008,180,18,18,138,95,138,106,14,*,78,180,54,44,49,45,50,49,50,50,50,50,50,180
2200141284009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141284010,143,22,5,49,71,107,87,9,8,75,143,40,15,29,17,19,33,39,39,39,39,39,143
2200141284011,189,22,22,145,82,150,102,22,0,80,189,54,45,46,47,49,48,49,49,50,50,48,189
2200141284012,114,11,12,70,68,89,78,7,4,53,111,34,17,25,17,21,30,31,31,31,31,31,111
2200141284013,81,16,6,37,34,62,57,6,*,33,81,23,10,17,14,14,19,21,21,21,21,21,81
2200141284014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141284015,143,33,6,86,66,107,54,12,*,51,131,50,32,36,32,35,37,37,37,38,39,38,131
2200141284016,39,0,6,30,17,21,16,4,0,16,33,14,8,9,8,9,9,9,9,9,9,9,33
2200141284017,161,25,8,61,83,117,90,5,17,61,161,41,19,29,21,25,33,39,41,41,41,41,161
2200141284018,134,17,16,71,71,111,101,8,*,53,134,33,16,26,22,27,26,29,31,30,30,31,134
2200141284019,96,20,8,41,42,76,56,7,13,40,96,23,11,16,13,15,18,21,21,22,22,21,96
2200141284020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141284021,89,13,7,46,45,72,70,*,0,28,86,20,13,17,14,12,16,19,19,19,19,19,86
2200141284022,136,23,10,58,74,100,85,9,6,50,133,34,16,26,18,18,27,30,29,31,31,31,133
2200141284023,130,31,6,38,72,96,81,*,13,47,130,30,10,23,17,10,24,29,29,29,29,29,130
2200141284024,169,31,9,72,89,129,119,5,5,65,166,51,15,36,21,21,36,43,44,44,44,44,166
2200141284025,132,26,7,52,67,105,90,12,*,51,132,30,9,26,12,20,25,30,30,30,30,30,132
2200141284026,112,14,12,56,41,76,73,*,0,37,106,35,15,25,16,20,25,28,28,27,28,26,106
2200141284027,96,18,6,38,43,78,68,0,10,38,96,21,9,17,11,15,20,20,21,21,21,21,96
2200141284028,160,22,6,56,103,102,91,3,8,58,160,39,12,31,18,15,31,37,37,38,38,38,160
2200141284029,101,27,4,34,44,91,81,*,5,40,101,18,9,10,9,11,15,17,17,17,17,17,101
2200141284030,89,10,5,52,34,77,71,5,*,34,89,25,14,20,15,12,24,25,25,25,25,23,89
2200141284031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141284032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141299000,3708,552,322,2276,1758,2626,1983,367,125,1480,3597,1259,727,935,793,905,955,1024,1030,1025,1040,1028,3597
2200141299001,153,20,12,100,83,106,90,7,*,61,144,59,32,41,37,38,40,43,42,42,43,42,144
2200141299002,87,12,4,56,45,67,56,10,*,38,84,27,16,19,17,20,23,23,23,22,23,23,84
2200141299003,56,4,7,40,35,49,47,3,*,30,56,19,12,16,14,17,16,17,17,16,17,17,56
2200141299004,156,17,21,118,81,107,94,10,3,59,153,60,38,45,42,42,45,46,47,47,47,47,153
2200141299005,147,15,21,100,71,105,75,17,4,43,135,74,30,47,38,42,40,52,52,51,52,51,135
2200141299006,92,12,11,62,44,58,40,14,0,35,89,39,26,29,27,28,24,29,29,30,31,31,89
2200141299007,126,25,12,74,50,82,55,21,3,46,126,34,22,28,25,27,29,30,30,30,30,30,126
2200141299008,199,29,13,118,94,174,109,16,8,76,187,66,45,53,48,51,55,57,57,57,58,58,187
2200141299009,139,34,6,46,63,98,53,16,29,43,139,37,11,25,15,20,20,29,33,33,33,33,139
2200141299010,52,7,4,36,25,40,32,5,0,27,49,20,12,15,12,16,18,18,18,18,18,18,49
2200141299011,109,12,10,71,47,81,69,13,4,52,109,33,20,27,22,24,28,29,29,30,30,30,109
2200141299012,94,13,3,50,50,60,45,13,0,37,91,32,17,27,16,24,27,29,29,29,29,29,91
2200141299013,73,15,6,51,38,59,49,7,*,33,73,26,17,19,15,19,22,23,23,23,23,22,73
2200141299014,250,34,30,176,121,161,113,28,7,100,247,82,56,64,60,67,65,70,71,71,72,71,247
2200141299015,19,*,3,12,9,13,12,*,0,6,19,10,5,6,5,7,8,8,8,7,8,7,19
2200141299016,69,15,7,31,28,38,35,6,*,20,66,19,9,10,9,12,14,15,15,15,15,15,66
2200141299017,114,20,8,53,55,69,42,9,17,46,111,31,14,20,17,21,24,26,26,26,26,26,111
2200141299018,27,3,5,17,9,19,14,5,*,10,27,9,6,7,7,7,6,7,7,7,7,7,27
2200141299019,56,6,3,34,30,42,27,7,0,23,53,18,12,15,11,17,17,17,17,17,17,17,53
2200141299020,74,5,5,47,37,43,33,7,5,34,74,26,16,20,15,18,22,22,22,23,23,23,74
2200141299021,94,15,9,51,40,75,61,9,*,41,91,30,15,22,15,21,22,23,23,23,23,23,91
2200141299022,31,5,0,17,17,18,16,0,*,14,31,9,6,8,7,8,8,8,8,8,8,8,31
2200141299023,233,28,24,158,95,174,142,18,3,105,224,76,50,60,53,58,61,65,65,66,66,65,224
2200141299024,91,23,3,30,43,74,67,4,3,39,91,21,9,16,9,13,17,19,19,17,19,18,91
2200141299025,34,8,*,13,15,27,25,4,0,13,34,10,5,8,6,6,5,9,9,9,9,9,34
2200141299026,68,15,*,34,28,43,34,5,4,27,68,19,4,16,9,12,15,15,16,16,16,16,68
2200141299027,19,*,0,13,11,13,12,*,0,6,19,8,4,4,3,4,5,5,5,5,5,4,19
2200141299028,96,17,5,61,39,67,50,13,6,41,96,31,18,25,21,24,26,27,27,27,27,27,96
2200141299029,124,19,9,73,61,88,61,20,3,50,121,48,23,33,27,29,34,36,36,32,36,36,121
2200141299030,206,25,25,134,94,147,103,15,0,73,197,80,43,61,48,59,64,66,66,66,66,65,197
2200141299031,202,33,18,147,102,151,100,23,*,96,202,68,51,56,54,60,59,60,60,62,62,61,202
2200141299032,152,28,13,101,76,112,100,7,4,63,146,47,32,33,34,35,35,37,37,37,37,37,146
2200141299033,67,9,5,45,33,44,30,9,0,22,67,22,16,17,16,18,17,18,18,17,18,18,67
2200141299034,63,8,8,35,26,40,33,6,*,26,57,22,12,16,13,15,15,16,16,16,16,16,57
2200141299035,9,0,0,3,*,0,0,0,0,*,3,3,*,*,*,*,*,*,*,*,*,*,3
2200141299036,59,12,4,33,27,40,23,8,9,20,59,24,11,15,12,13,16,16,16,16,16,15,59
2200141299037,61,6,4,34,33,40,34,10,0,21,55,17,10,10,12,11,11,12,12,12,12,11,55
2200141299038,7,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200141316000,1773,229,127,994,905,1307,931,152,132,602,1599,670,309,464,360,367,410,503,511,514,516,513,1599
2200141316001,54,7,4,34,31,44,36,*,0,23,51,18,12,14,13,16,15,16,16,16,16,16,51
2200141316002,27,*,*,17,14,16,7,*,0,9,27,11,4,8,5,9,10,10,10,10,10,10,27
2200141316003,40,5,5,25,17,18,9,0,0,11,34,13,9,10,9,10,10,10,10,10,10,10,34
2200141316004,37,3,3,24,16,32,19,*,0,16,37,14,10,11,10,11,12,12,12,12,12,12,37
2200141316005,331,48,23,220,180,238,193,15,7,128,331,145,80,103,87,94,96,111,110,111,111,109,331
2200141316006,30,*,3,21,18,20,12,3,0,10,30,19,6,10,7,9,10,11,11,11,11,11,30
2200141316009,88,10,8,51,43,55,42,9,4,29,82,30,13,23,18,20,23,25,25,25,25,25,82
2200141316010,78,12,6,46,43,61,36,17,8,32,78,25,15,21,17,19,22,22,22,22,22,22,78
2200141316011,35,5,*,14,12,20,7,12,*,11,32,10,5,7,7,8,8,9,9,9,9,9,32
2200141316013,78,10,4,60,53,69,50,8,0,23,78,46,27,34,31,24,18,34,34,34,34,33,78
2200141316014,2,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200141316015,53,5,*,31,20,38,33,5,0,16,47,20,13,14,13,14,15,16,15,16,16,16,47
2200141316016,29,4,7,24,16,21,19,6,0,11,29,10,9,9,9,9,9,10,10,10,10,10,29
2200141316017,15,0,*,12,10,15,8,5,0,7,15,7,4,5,5,5,4,5,6,6,6,6,15
2200141316018,34,8,*,24,20,26,25,*,0,9,34,12,10,10,10,10,10,11,11,11,11,11,34
2200141316019,13,*,*,8,5,10,4,0,*,5,10,5,*,*,*,*,*,3,3,3,3,3,10
2200141316020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316021,4,0,0,3,3,3,*,0,0,3,4,6,*,3,*,*,*,3,3,3,3,3,4
2200141316022,14,*,*,10,9,10,10,0,0,3,14,14,*,4,3,*,3,5,5,5,5,5,14
2200141316023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316024,18,3,3,14,9,13,10,*,0,10,18,6,5,5,5,4,5,5,5,5,5,5,18
2200141316025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316033,2,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200141316034,27,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200141316035,27,5,4,15,15,21,14,*,3,7,27,15,7,13,8,8,7,12,13,12,12,12,27
2200141316036,77,11,6,49,38,60,47,11,*,29,77,26,10,17,13,13,15,21,22,21,21,21,77
2200141316038,111,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200141316039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141316040,258,41,24,130,150,207,156,17,34,87,258,90,29,64,37,33,50,67,72,74,74,74,258
2200141316041,161,29,7,50,77,104,61,16,29,53,152,56,11,36,18,20,30,38,41,42,43,43,152
2200141316042,69,7,*,42,38,58,50,10,0,33,69,31,15,23,18,15,21,28,27,28,28,28,69
2200141316044,20,3,3,11,16,15,8,0,7,4,20,19,4,7,5,*,3,7,7,6,7,7,20
2200141316045,39,6,*,21,21,22,18,4,*,18,39,11,6,9,7,7,9,9,9,9,9,9,39
2200141316046,2,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200141316047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141354000,4567,1307,146,1018,2034,2960,2099,114,719,1903,4528,1264,272,800,366,535,719,891,975,995,1011,932,4528
2200141354001,83,25,*,6,34,49,34,*,14,32,83,20,*,15,3,5,10,12,18,18,18,15,83
2200141354002,60,23,3,11,18,37,33,*,3,27,60,17,*,12,3,7,12,12,13,14,14,12,60
2200141354003,25,9,0,3,10,15,7,0,7,14,25,9,0,3,0,*,*,3,7,7,8,8,25
2200141354004,50,10,0,8,25,42,32,*,9,14,50,17,3,9,4,4,10,12,12,12,12,12,50
2200141354006,40,12,*,6,18,30,20,0,10,14,40,10,*,6,*,3,6,7,7,7,7,7,40
2200141354007,52,12,5,17,25,42,26,6,10,20,52,19,7,9,6,7,11,11,12,12,12,12,52
2200141354008,91,33,*,14,33,71,32,4,35,41,88,24,3,13,3,8,11,16,16,18,19,18,88
2200141354009,34,12,0,8,16,19,14,0,5,14,34,11,0,7,0,4,5,7,10,9,10,7,34
2200141354011,234,77,6,43,106,154,122,10,22,80,234,46,9,34,13,14,27,38,45,44,45,45,234
2200141354012,211,63,7,34,92,126,86,10,30,90,211,50,8,35,12,25,29,43,46,47,48,47,211
2200141354013,78,22,3,18,35,52,23,*,27,31,78,16,*,7,3,6,6,12,13,13,13,11,78
2200141354015,91,31,*,17,41,43,35,0,9,36,91,26,4,18,6,16,19,19,23,24,24,22,91
2200141354016,30,6,0,5,12,13,4,4,5,11,30,10,0,4,0,3,4,6,7,8,8,7,30
2200141354017,100,23,5,20,46,74,51,0,23,46,100,32,5,19,6,11,18,24,25,26,26,25,100
2200141354018,78,17,3,13,34,43,36,*,6,38,75,17,*,12,3,8,11,14,14,15,15,14,75
2200141354019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141354020,133,32,8,44,64,71,53,*,16,63,133,34,8,23,13,17,24,30,32,31,32,33,133
2200141354021,93,22,5,18,43,62,51,0,11,40,93,25,6,16,7,9,12,11,17,17,18,16,93
2200141354022,481,139,8,86,220,331,221,6,104,188,478,123,21,85,29,44,67,88,104,101,104,89,478
2200141354023,54,22,0,*,19,27,7,0,20,23,54,12,0,7,0,4,5,7,9,11,11,4,54
2200141354024,100,29,3,17,42,72,40,*,31,38,100,25,3,16,6,11,18,21,22,22,22,20,100
2200141354025,42,10,6,15,17,30,21,6,3,15,42,15,4,9,5,4,9,11,12,12,12,11,42
2200141354027,75,20,4,10,39,55,35,4,13,31,75,16,*,13,*,4,7,13,14,15,15,11,75
2200141354028,140,38,10,23,64,95,73,0,22,56,140,24,10,19,12,13,17,22,21,22,22,21,140
2200141354030,124,45,*,17,48,69,41,0,23,50,121,24,3,19,5,15,18,21,21,20,22,21,121
2200141354031,68,17,0,10,38,38,28,0,12,24,68,18,6,12,6,9,12,14,16,16,16,16,68
2200141354033,32,10,0,6,13,19,17,0,*,13,32,9,*,6,*,4,5,6,7,7,7,7,32
2200141354034,63,11,4,22,28,41,32,*,8,28,63,18,6,12,8,8,10,13,13,13,13,13,63
2200141354035,55,17,*,8,24,42,31,5,6,27,55,16,*,12,*,7,11,14,14,14,14,14,55
2200141354036,68,20,3,10,27,53,35,6,12,29,68,18,4,10,5,7,9,14,14,14,14,10,68
2200141354037,13,6,0,4,4,4,0,4,0,6,13,5,*,4,*,*,4,3,3,4,4,4,13
2200141354038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141354039,17,*,*,7,7,15,12,0,3,4,17,6,*,3,*,3,3,4,5,5,5,5,17
2200141354040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141354041,84,19,4,18,43,50,45,0,5,35,84,18,5,16,9,8,13,15,16,18,18,18,84
2200141354042,299,95,11,128,137,219,183,18,12,140,299,107,44,75,64,70,74,79,79,79,80,75,299
2200141354043,143,41,*,28,60,96,52,*,43,69,143,27,4,17,4,12,20,25,26,26,26,21,143
2200141354044,172,48,*,30,73,104,72,*,28,69,172,46,3,18,5,11,20,22,26,27,27,24,172
2200141354045,59,22,0,3,25,36,21,0,15,20,59,21,*,7,3,3,8,10,11,14,14,14,59
2200141354049,344,91,11,57,149,196,133,6,58,155,341,97,12,55,23,33,45,63,66,72,73,68,341
2200141354050,87,25,3,24,42,46,38,*,6,39,81,22,4,12,5,14,9,16,18,18,18,18,81
2200141354053,64,23,*,13,20,43,28,0,15,24,61,22,*,12,*,3,10,10,14,14,14,10,61
2200141354054,121,33,8,29,54,75,54,*,19,56,121,28,5,17,6,14,15,21,22,24,25,22,121
2200141354055,9,0,0,0,5,4,*,0,*,6,9,3,0,*,0,0,*,*,*,3,3,3,9
2200141354056,28,5,*,7,16,13,12,0,0,12,28,6,*,5,*,*,5,6,6,6,6,6,28
2200141354058,34,9,0,18,15,24,22,*,0,13,31,23,8,10,9,10,10,10,10,10,10,9,31
2200141354059,32,11,*,15,13,14,14,0,0,13,29,18,5,8,6,8,8,8,8,7,8,8,29
2200141354060,50,10,*,33,29,42,35,3,0,21,50,22,12,15,14,14,13,15,15,15,15,15,50
2200141354061,49,15,*,33,25,43,36,*,0,23,49,20,13,18,18,16,18,18,18,18,18,18,49
2200141354062,34,8,*,22,20,28,23,3,0,13,34,23,13,14,13,12,13,14,14,14,14,14,34
2200141354063,32,12,*,20,13,23,23,0,0,18,32,17,8,9,8,9,9,9,9,9,9,9,32
2200141354064,20,*,*,11,9,5,5,0,0,3,14,7,5,5,5,5,4,5,5,5,5,5,14
2200141354065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141354066,90,23,*,8,43,64,48,*,15,31,87,23,3,16,4,8,12,15,17,17,17,17,87
2200141354067,1,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200141354068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141354070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200141373000,3491,1074,80,423,1543,2448,1331,78,1011,1381,3482,859,92,573,144,293,461,616,752,751,779,687,3482
2200141373001,165,35,3,40,91,124,79,3,39,64,165,36,7,23,10,14,22,28,34,36,36,30,165
2200141373002,170,58,3,16,69,116,61,*,54,68,170,33,4,31,4,14,23,29,32,33,33,29,170
2200141373003,137,50,*,12,53,96,52,0,43,48,137,27,*,22,5,9,14,20,24,23,25,25,137
2200141373004,143,34,6,27,69,94,73,*,20,63,143,45,3,29,7,15,28,33,36,39,39,32,143
2200141373005,101,34,3,13,46,81,38,3,40,48,101,25,*,18,5,6,17,15,21,21,21,21,101
2200141373006,135,45,*,8,56,65,31,0,34,54,135,41,*,20,3,6,20,21,37,37,38,29,135
2200141373007,179,47,4,21,81,108,75,0,32,75,179,45,8,34,8,21,29,39,44,45,45,43,179
2200141373008,50,14,*,10,23,34,28,0,5,18,50,15,3,7,3,4,7,11,14,14,14,12,50
2200141373009,75,24,*,7,40,61,37,*,23,32,75,16,3,10,4,9,10,13,15,14,15,14,75
2200141373010,82,21,0,9,39,69,28,6,35,30,82,21,*,12,3,8,10,13,19,17,18,18,82
2200141373011,150,47,*,17,68,114,72,*,40,64,150,30,3,29,5,17,20,26,30,29,30,29,150
2200141373012,105,37,*,10,48,86,44,9,33,40,105,25,0,15,*,10,10,19,21,21,22,21,105
2200141373013,142,49,3,16,62,107,60,0,47,52,142,32,3,20,9,5,17,26,27,26,28,29,142
2200141373014,62,23,*,8,26,53,25,0,25,24,62,19,3,12,5,4,8,10,12,13,13,12,62
2200141373015,49,10,0,7,27,23,18,*,3,18,49,13,*,7,3,6,10,11,11,11,11,11,49
2200141373016,7,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200141373017,29,8,0,8,16,20,10,6,4,12,29,14,3,7,3,6,6,7,9,9,9,8,29
2200141373018,89,24,4,12,38,61,34,*,25,36,89,21,3,8,3,8,8,14,16,18,19,12,89
2200141373019,138,35,6,25,55,111,58,7,33,50,138,28,5,20,7,11,18,21,26,27,27,18,138
2200141373020,149,45,*,11,65,98,56,6,36,67,149,48,3,30,*,11,23,30,43,44,44,38,149
2200141373021,144,46,4,18,59,105,52,0,51,50,144,40,3,19,8,9,24,28,34,32,37,28,144
2200141373022,109,35,*,9,56,86,34,13,39,40,109,22,*,17,4,10,15,19,21,20,21,19,109
2200141373023,59,20,*,6,18,41,8,0,33,20,59,13,*,10,*,4,6,11,12,12,12,11,59
2200141373024,124,46,4,19,47,81,39,4,37,58,124,26,*,18,5,13,17,21,24,24,24,23,124
2200141373025,1,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200141373027,29,4,0,*,16,19,7,*,10,12,29,10,0,7,0,5,5,7,7,5,9,7,29
2200141373028,125,45,3,9,45,82,44,0,38,50,119,33,*,22,4,5,12,22,27,28,28,23,119
2200141373029,196,65,*,18,87,141,77,*,62,78,196,53,*,34,3,17,19,29,44,46,46,44,196
2200141373031,94,33,*,9,38,71,29,0,34,33,94,23,*,13,4,5,8,14,17,18,20,13,94
2200141373032,177,51,10,20,83,117,56,*,58,66,177,37,5,30,7,10,19,31,36,34,36,33,177
2200141373033,63,19,3,9,26,51,32,0,25,25,63,17,*,11,3,7,6,13,15,12,15,15,63
2200141373034,115,40,*,6,45,78,41,0,37,44,112,24,*,20,3,11,11,13,21,21,21,19,112
2200141373035,60,19,5,14,30,35,21,3,11,22,60,16,6,10,8,10,12,14,14,13,14,12,60
2200141373037,38,10,3,5,17,16,11,0,5,18,38,9,*,6,*,3,6,7,7,7,7,7,38
2200141388000,2010,533,78,426,888,1363,998,61,287,806,1993,525,92,325,136,213,314,387,416,419,424,406,1993
2200141388001,145,29,10,41,70,87,66,6,15,54,145,29,8,23,13,19,23,29,29,29,29,29,145
2200141388002,26,7,0,7,12,14,9,4,*,12,26,10,*,6,4,*,6,7,6,7,7,7,26
2200141388003,47,8,0,11,18,36,26,3,7,22,47,16,3,8,3,6,7,10,12,12,12,12,47
2200141388004,76,21,3,6,34,55,28,3,25,29,76,33,4,14,6,8,8,13,17,17,17,17,76
2200141388005,51,10,3,15,20,36,29,0,7,23,51,13,*,7,5,5,6,9,10,10,10,10,51
2200141388006,135,33,5,43,56,101,71,11,19,61,135,35,6,24,9,10,24,28,28,29,29,27,135
2200141388007,121,29,11,34,57,78,69,4,5,48,121,23,7,15,8,14,16,18,20,20,20,19,121
2200141388008,164,54,4,24,70,118,97,0,21,64,164,38,*,19,3,13,22,25,24,27,28,26,164
2200141388009,107,29,*,20,46,55,46,0,8,41,93,21,4,13,4,8,17,19,19,19,19,17,93
2200141388010,90,22,8,33,42,63,46,6,11,36,90,29,8,14,10,14,17,19,19,19,19,19,90
2200141388011,100,37,0,11,32,66,51,0,15,43,97,21,*,13,3,8,11,14,16,16,16,14,97
2200141388012,135,33,5,25,54,84,63,*,13,58,135,35,6,18,10,16,27,30,33,33,33,32,135
